FIPS,State,County,X,Y,Total_POP,POP_65,Black_POP,Native_POP,Asian_POP,Hispanic_POP,White_POP,Rural_POP,Median_Income,Unemployed,Education,Diabetes_Count,Diabetes_Percent,Obesity,Food_Env_Index,Physically_Inactive,Access_Exercise,Uninsured,Urban_rural
1071,Alabama,Jackson County,906128.3197,1349861.498,51582,21.1,3.3,1.6,0.6,3.1,89.1,77,46606,5.3,50,4641,9.3,40,6.9,29,38,13,Urban
1073,Alabama,Jefferson County,838191.1631,1205354.6,655342,16.7,43.4,0.3,1.8,4.1,49.2,9.8,57802,6.2,69,64399,11.8,39,6.7,25,80,10,Urban
1075,Alabama,Lamar County,725857.7,1220472.403,13764,22.5,10.2,0.3,0.1,2,85.9,100,40204,4.9,49,1294,9.6,39,7.3,29,9,12,Rural
1077,Alabama,Lauderdale County,755443.8463,1349000.612,93368,20.9,9.8,0.4,0.9,3,84.3,49.3,52293,5.5,58,8959,10.2,39,7.3,26,57,12,Urban
1079,Alabama,Lawrence County,790299.6906,1309506.198,32857,19.3,10.5,5.8,0.3,2.5,76.4,91.3,48924,4.9,53,2841,9.2,39,7,30,57,15,Urban
1081,Alabama,Lee County,991482.718,1114381.651,166831,12.9,22.6,0.4,4.2,3.8,67.6,27.4,58963,5.2,74,12555,10.1,37,6.8,25,60,11,Urban
1083,Alabama,Limestone County,817073.2449,1344348.673,102228,15.7,13.6,0.8,1.8,6.2,75.7,57.6,70850,4.3,61,6631,7.5,35,7.5,26,43,12,Urban
1085,Alabama,Lowndes County,876181.2191,1052196.1,9641,20.3,72.2,0.4,0.5,2,24.6,100,37499,13.3,42,892,10,49,4.7,37,1,12,Urban
1087,Alabama,Macon County,962776.2814,1087058.722,17895,21.3,79.3,0.3,0.5,2.2,16.6,55.5,37736,9.6,54,2255,13.8,47,5.3,35,40,13,Rural
1089,Alabama,Madison County,856563.8724,1342883.807,379453,15.6,24.4,0.8,2.7,5.2,64.4,16.4,67810,4.6,75,35397,11,35,7.4,23,74,10,Urban
1091,Alabama,Marengo County,768811.3741,1052639.321,18733,20.6,51.4,0.3,0.3,2.8,44.3,69.3,43198,6.2,51,2136,12.4,44,6,32,48,11,Rural
1093,Alabama,Marion County,741675.3786,1261966.009,29703,21.6,3.8,0.5,0.3,2.6,91.7,88.9,44333,5.1,58,2485,8.5,38,7.1,30,48,12,Rural
1095,Alabama,Marshall County,883149.4316,1301065.899,96990,17.4,2.6,1.1,0.8,15,79.6,53.3,51417,4.2,54,8725,10.5,40,6.7,30,53,15,Urban
1097,Alabama,Mobile County,743214.0162,886353.9691,412716,17.1,36.2,0.9,2.1,3,56.3,20,50871,7.9,59,43991,12.6,39,6.6,28,64,12,Urban
1099,Alabama,Monroe County,815207.5273,981058.0214,20459,21.7,41,1.3,0.4,1.7,53.9,79,38812,8.2,35,1974,10,44,6,32,41,13,Rural
1101,Alabama,Montgomery County,916722.625,1063658.541,224639,16,59.5,0.3,3.4,3.7,31.9,10.5,49607,7.8,65,26974,14.8,49,6.5,31,69,12,Urban
1103,Alabama,Morgan County,832538.727,1305761.382,119883,18.3,12.7,1.1,0.7,8.7,74.9,38.6,55688,4.5,54,11211,10.5,40,7.1,28,71,15,Urban
1105,Alabama,Perry County,811039.8848,1100138.096,8687,20.9,67,0.4,0.6,1.7,29.5,100,33712,10.9,42,803,10.4,51,3.4,41,55,12,Rural
1107,Alabama,Pickens County,731203.5468,1165053.63,19793,19.8,39.7,0.3,0.4,5.4,53.3,100,41870,6.5,50,2190,11.9,42,6.9,34,4,13,Urban
1109,Alabama,Pike County,946548.7153,1019904.422,32966,15.8,37.8,0.7,1.9,2.4,55.7,51.7,43141,4.9,63,3079,11.9,39,6.7,30,61,12,Urban
1111,Alabama,Randolph County,973285.2542,1190092.777,22920,21.3,18.8,0.5,0.5,3,75.7,81.3,46679,4.7,48,2170,9.8,43,6.4,30,41,13,Rural
1113,Alabama,Russell County,1011295.822,1081493.685,58237,15.1,44.9,0.7,0.9,5.9,45.4,35.4,40821,5.1,65,5844,12.4,42,6.7,33,56,12,Urban
1115,Alabama,St. Clair County,889764.201,1228541.704,90739,17.5,9.7,0.4,0.9,2.5,84.9,72.8,61973,4.9,58,8477,10.6,38,7.9,26,49,12,Urban
1117,Alabama,Shelby County,862964.3387,1175199.431,221428,16.4,13.5,0.4,2.3,5.8,76.7,22.9,88444,3.9,78,17730,9.3,33,8.3,21,74,9,Urban
1119,Alabama,Sumter County,727404.035,1087525.042,12225,19.8,70.4,0.2,1.8,1.3,25.4,100,32275,7,58,1110,10.3,48,5.9,36,33,12,Rural
1121,Alabama,Talladega County,907246.3344,1192676.758,79985,18.9,32.9,0.4,0.6,2.5,62.1,55.8,44802,7,54,7631,10.5,42,6.7,32,50,12,Urban
1123,Alabama,Tallapoosa County,947322.4966,1138867.713,40133,22.8,26.7,0.5,0.6,2.5,68.6,74.2,46654,6.9,48,4004,10,40,7.3,31,60,14,Rural
1125,Alabama,Tuscaloosa County,783090.3354,1170540.029,210758,14.1,32.5,0.3,1.7,4,60.3,25.5,56610,6.6,65,17691,11,42,7.2,29,75,10,Urban
1127,Alabama,Walker County,798892.0647,1229583.653,63143,20.1,6,0.6,0.5,2.8,88.6,74.1,46519,5.8,56,5608,9.6,36,6.9,30,40,12,Urban
1129,Alabama,Washington County,737348.0421,956049.341,15976,20.5,23.1,7.8,0.8,1.6,65.3,100,36346,8,58,2018,13.4,43,7.3,30,10,14,Rural
1131,Alabama,Wilcox County,816409.2706,1027963.482,10206,21,69.9,0.2,0.2,1.6,27,100,31909,14.7,41,1032,11.1,51,4.1,39,2,12,Rural
1133,Alabama,Winston County,788404.7509,1267513.85,23508,22.6,0.9,0.9,0.4,3.3,93.3,84.9,46453,4.7,51,1915,8.1,40,7.2,32,76,14,Rural
4001,Arizona,Apache County,-1210740.252,1455925.988,71875,16.5,0.5,74.9,0.4,6.8,18.1,74.1,36319,12.8,54,8159,14.1,36,2.7,27,18,19,Rural
4003,Arizona,Cochise County,-1290611.96,1071907.565,127450,23.8,3.9,1.8,2.3,35.5,54.8,36.3,51171,7,66,10411,8.6,31,6.7,24,68,13,Urban
4005,Arizona,Coconino County,-1405359.239,1537195.839,142481,13.9,1.3,27.3,2.1,14.6,54,31.5,57146,9.7,72,7474,7.1,28,6.5,19,81,16,Urban
4007,Arizona,Gila County,-1355993.094,1298458.724,54303,30.1,0.6,18,0.9,19.2,61.7,41.1,49280,7.7,52,5294,9.2,32,6.5,27,88,14,Urban
4009,Arizona,Graham County,-1286205.946,1189918.657,39211,14.3,1.5,13.1,0.8,33.5,51,46.4,55419,6.3,51,2845,9.9,33,6.4,25,57,14,Urban
4011,Arizona,Greenlee County,-1222278.216,1212493.161,9341,13.8,1.6,4.4,1,48.3,44.9,46.6,67530,5.5,55,515,7.5,33,7.2,24,71,11,Rural
4012,Arizona,La Paz County,-1644757.363,1340753.453,21480,41.7,0.8,18.1,1,28,56.9,56.3,41637,7.1,37,2134,7.7,36,4.6,30,43,20,Rural
4013,Arizona,Maricopa County,-1517262.179,1274184.658,4579081,15.9,5.7,2.9,4.8,31.5,54.1,2.4,71799,7.4,67,316605,8.5,31,8,22,93,13,Urban
4015,Arizona,Mohave County,-1583919.555,1553444.329,217206,32,1.1,3,1.3,17.2,76.4,23,46678,10,51,25598,10.3,36,5.6,29,57,14,Urban
4017,Arizona,Navajo County,-1284765.39,1467535.868,112112,19.5,0.8,45.1,0.6,11.9,41.9,54.1,46698,10.1,52,10828,11.3,34,4.3,27,60,16,Urban
4019,Arizona,Pima County,-1476191.451,1125771.422,1061175,20.9,3.5,4.4,3.4,38,50.9,7.5,56551,7.7,68,68759,7.3,29,7.3,23,87,12,Urban
4021,Arizona,Pinal County,-1420586.8,1207586.372,480828,21.6,4.8,6.6,1.9,31,55.8,21.9,66992,7.5,54,45291,10.6,37,7.1,25,64,13,Urban
4023,Arizona,Santa Cruz County,-1398761.173,1048495.378,46808,19.1,0.5,1.4,0.8,82.8,15.4,26.9,44402,11.4,56,3741,9.4,35,6.1,29,65,19,Urban
4025,Arizona,Yavapai County,-1498489.345,1412798.518,240226,33.7,0.8,2.2,1.3,15,79.8,33.2,58860,7.5,61,17886,6.2,28,6.9,21,85,14,Urban
4027,Arizona,Yuma County,-1657902.488,1234156.053,217824,20.1,1.9,2.4,1.6,64.7,30,10.4,54278,17.1,55,20438,11.3,41,6.5,29,81,17,Urban
5001,Arkansas,Arkansas County,422335.6565,1257742.809,17383,20.5,25,0.4,0.7,3.8,68.3,34.7,51186,4,52,1832,11.4,38,5.4,33,76,8,Rural
5003,Arkansas,Ashley County,391924.6564,1133376.502,19339,21.6,24.1,0.8,0.3,6,68.2,51.7,44677,9.3,51,2051,11.2,40,6.5,36,44,10,Rural
5005,Arkansas,Baxter County,325944.8231,1477160.052,42242,31.5,0.5,0.8,0.5,2.6,94.3,65.8,44833,5.9,63,3700,7.5,33,7.1,27,61,9,Urban
5007,Arkansas,Benton County,155094.5293,1478108.344,288774,13.8,1.9,1.9,4.6,17.3,71.9,25.2,78678,4.5,64,18279,8.4,30,8,24,72,10,Urban
5009,Arkansas,Boone County,258755.232,1477267.159,37625,21.5,0.5,0.9,0.6,2.7,93.5,62.2,48153,5.3,60,3318,9.3,37,6.8,29,42,10,Urban
5011,Arkansas,Bradley County,354204.4236,1162472.481,10639,19.5,27.5,1.6,0.5,15.8,54.7,49.6,41578,5.8,42,759,8,43,6.8,33,49,13,Rural
5013,Arkansas,Calhoun County,322441.5019,1171500.858,5113,22.4,21,0.7,0.2,4.4,72.2,100,50865,5.2,50,484,9.4,37,5.7,30,7,10,Urban
5015,Arkansas,Carroll County,218922.7896,1479770.985,28276,24.2,0.5,1.4,2.2,15.5,77.7,72.8,45397,5.7,42,2433,8.7,35,7.3,29,54,14,Rural
5017,Arkansas,Chicot County,435421.231,1143899.148,9924,22.5,53.2,0.6,0.8,6.1,38.7,54.3,35992,10.3,47,884,9.2,48,5,39,56,8,Rural
5019,Arkansas,Clark County,258696.4416,1224518.294,22103,17.1,23.9,0.6,0.7,4.9,68.1,54.4,46464,5.9,56,1741,9.8,39,6.3,30,45,10,Urban
5021,Arkansas,Clay County,496062.5084,1494564.049,14375,21.9,0.8,0.6,0.2,2.4,94.6,58.9,43723,6,55,1348,9.7,39,6.3,31,61,10,Rural
5023,Arkansas,Cleburne County,356975.247,1394535.948,24935,27.8,0.4,0.8,0.5,2.5,94.4,75.5,49964,7.6,42,2317,8.3,37,6.9,29,36,9,Rural
5025,Arkansas,Cleveland County,350188.7783,1210634.808,7957,21.6,11.1,0.6,0.2,2.9,84,100,57697,6.1,53,750,9.7,37,7.1,32,1,9,Urban
5027,Arkansas,Columbia County,256754.7548,1130947.154,23331,17.9,35.1,0.6,0.9,2.9,59.3,57.5,44925,6.8,58,2143,11.1,40,6.4,33,52,10,Urban
5029,Arkansas,Conway County,297531.8217,1361313.732,21037,20.1,11.5,0.9,0.5,4.3,81,70.5,47049,6,53,1692,8.6,39,6.2,31,46,8,Rural
5031,Arkansas,Craighead County,480321.0855,1433405.663,112245,14.2,16.9,0.5,1.4,5.3,74.3,32.2,51797,5.3,62,8650,10.3,40,6.6,29,60,9,Urban
5033,Arkansas,Crawford County,157810.2161,1394155.534,63409,17.7,1.5,2.6,1.6,8.4,83.3,52,54534,5.4,54,5562,10,36,6.3,31,65,12,Urban
5035,Arkansas,Crittenden County,513412.7897,1365386.885,47616,14.6,54.7,0.5,0.7,3,40.1,20.9,47545,8.3,56,4394,11.8,47,6.4,34,77,9,Urban
5037,Arkansas,Cross County,471183.736,1372833.132,16142,19.2,23.3,0.5,0.8,2.2,71.8,56.8,40587,6.1,49,1611,11.1,41,6.1,33,72,9,Rural
5039,Arkansas,Dallas County,306848.4113,1216976.821,6802,25.1,41,0.7,0.3,3.9,52.3,52.6,34649,5.3,50,619,9,40,5.3,34,,10,Rural
5041,Arkansas,Desha County,435913.8349,1207239.844,11110,19.6,47.4,0.5,0.9,6.9,43.1,31.4,37421,7,41,979,10,45,5.6,38,41,11,Rural
5043,Arkansas,Drew County,394404.8698,1178013.43,17977,18.3,27.7,0.6,0.7,3.9,66.1,48.6,46787,6.9,65,1377,9,43,6.7,35,66,9,Rural
5045,Arkansas,Faulkner County,331289.0617,1349668.8,126919,13.4,12.2,0.7,1.3,4.3,79.5,38.8,57367,5.4,66,9902,10.4,36,6.7,27,64,8,Urban
5047,Arkansas,Franklin County,189625.6278,1386218.18,17897,20.4,0.9,1.6,1,3.4,91.5,82.6,47256,5.6,61,1482,8.9,36,6.8,33,67,10,Rural
5049,Arkansas,Fulton County,371643.9693,1489698.908,12381,26.7,0.7,0.9,0.3,2,94.3,92.9,39839,5.1,61,1212,9.2,38,6.6,32,44,9,Rural
5051,Arkansas,Garland County,259314.0964,1283332.464,99789,24.7,8.6,0.8,0.8,6.1,81.4,36.9,46459,8,62,9790,9.9,31,6.2,28,72,10,Urban
5053,Arkansas,Grant County,326626.6293,1253536.526,18449,18.7,2.6,0.5,0.4,3.2,92.2,75,62077,5.2,54,1426,8.5,37,6.7,27,35,8,Urban
5055,Arkansas,Greene County,485077.6864,1465822.724,45597,16.6,1.9,0.5,0.5,3,92.5,41.5,53821,6,50,4908,12.8,40,6.7,29,67,8,Urban
5057,Arkansas,Hempstead County,214525.827,1188055.448,21253,19.2,30.1,0.7,0.6,13.4,53.5,55.8,42790,5.2,58,1969,10.5,42,6,35,60,11,Rural
5059,Arkansas,Hot Spring County,278873.2242,1254962.935,33787,19.9,11.1,0.6,0.4,3.6,82.5,66,49582,5.8,52,2642,8.4,36,6.5,31,21,9,Urban
5061,Arkansas,Howard County,183788.2959,1226838.439,13109,18.5,20.7,1.5,0.7,13.2,63,67.5,40566,5,49,933,8.2,42,6.1,34,9,11,Rural
5063,Arkansas,Independence County,396986.1129,1419036.274,37757,18.4,2.3,0.9,0.9,6.9,87.8,68.6,50834,5.8,61,2694,8.2,37,7.1,29,49,10,Urban
5065,Arkansas,Izard County,364580.0196,1457251.02,13613,26.2,2.2,0.8,0.5,2.6,92.7,100,41787,8.4,51,1137,7.8,38,7.1,30,55,8,Rural
5067,Arkansas,Jackson County,429625.2692,1404670.075,16636,18.7,17,0.8,0.5,3.2,76.7,65.1,40789,7.1,47,1389,9.3,39,5.4,34,46,9,Rural
5069,Arkansas,Jefferson County,371628.2943,1252982.597,65377,18.6,57.3,0.5,1,2.3,37.8,30.9,40588,8,48,8464,14.8,44,6.4,34,63,8,Urban
5071,Arkansas,Johnson County,228180.1822,1393640.817,26513,17.3,1.6,1.2,3,14.4,78.1,71.4,39439,6.3,40,2263,10.1,40,6.1,33,43,13,Rural
5073,Arkansas,Lafayette County,221537.5884,1132961.495,6596,25,35.4,0.7,0.7,3.2,59,100,40007,7.6,49,569,8.2,41,5.9,36,11,12,Rural
5075,Arkansas,Lawrence County,436707.5398,1454580.204,16410,19.7,1.2,0.7,0.3,1.7,94.6,63.6,41188,6.1,58,1241,8.3,38,5.7,30,35,9,Rural
5077,Arkansas,Lee County,473424.8955,1315286.981,8513,20.9,53.6,0.6,0.6,3,41,63.5,32502,7.5,37,838,10.4,45,4.8,39,52,8,Rural
5079,Arkansas,Lincoln County,391302.5952,1219018.366,12944,16.2,29.4,0.6,0.4,4.6,64.1,100,47903,6,28,901,8.1,40,6,35,38,8,Urban
5081,Arkansas,Little River County,162556.8087,1183225.108,12180,21.6,19.5,1.6,0.5,3.7,72.6,68.5,47125,6.4,53,905,7.8,37,7.8,30,51,9,Urban
5083,Arkansas,Logan County,206087.9587,1353403.041,21410,20.8,1.3,1.2,2.1,3.1,90.6,71,43577,6.6,52,2052,9.9,41,6.4,31,64,9,Rural
5085,Arkansas,Lonoke County,373299.2293,1307381.435,73921,14.5,6.3,0.7,0.9,4.7,85.6,44.8,59623,5.5,57,6310,10.7,37,7.5,28,44,8,Urban
5087,Arkansas,Madison County,203229.8493,1442388.352,16644,20,0.5,1.8,0.9,6.1,88.7,100,45144,3.9,39,1155,7.5,35,6.6,32,49,12,Urban
5089,Arkansas,Marion County,295148.9411,1473943.42,16790,29.1,0.6,1.1,0.6,2.6,93.4,100,39888,6.4,55,1678,8.8,37,6.8,30,31,10,Rural
5091,Arkansas,Miller County,195029.3472,1140265.061,43177,17.5,25.4,0.9,0.6,3.7,67.7,40,43634,6.9,56,4369,11.8,40,6.3,31,72,9,Urban
5093,Arkansas,Mississippi County,532470.4543,1428975.558,40066,15.4,35.7,0.6,0.5,4.7,57.5,36.3,47892,9,46,3941,12.3,43,6.2,35,65,10,Urban
5095,Arkansas,Monroe County,435774.9556,1301719.597,6584,24,40,0.8,0.8,2.9,53.8,69,35833,6.7,42,625,9.4,42,5.6,37,61,9,Rural
5097,Arkansas,Montgomery County,213106.9019,1277843.282,9006,27.7,0.4,1.4,1.3,4.4,90.6,100,42751,6.8,44,763,7.5,37,6.1,30,97,13,Rural
5099,Arkansas,Nevada County,247970.8945,1180864.704,8099,21.5,30.3,0.4,0.5,4.7,62.4,69.2,41854,5.9,42,672,8.7,42,4.6,32,48,8,Rural
5101,Arkansas,Newton County,248778.5402,1433394.497,7602,27.8,0.5,1.3,0.6,2.2,93,100,40698,5,59,678,8.1,34,6.8,28,60,8,Urban
5103,Arkansas,Ouachita County,287345.1173,1174251.825,23167,21.6,39.7,0.4,0.5,2.6,54.8,56.4,46374,6,56,2280,10.3,40,5.5,36,36,8,Urban
5105,Arkansas,Perry County,277874.0963,1325399.075,10327,21.1,2,1,0.3,3.1,91.7,100,46317,5.5,60,926,9.2,37,7,29,48,9,Urban
5107,Arkansas,Phillips County,469554.445,1275605.39,17299,20.2,62.3,0.4,0.4,2,33.9,48,35167,9.1,61,2173,14.3,48,4.4,38,63,8,Urban
5109,Arkansas,Pike County,214452.0054,1235896.943,10643,21,3.4,1.3,0.8,6.9,86.4,100,43133,5.9,59,862,8.5,36,6.4,30,35,12,Rural
5111,Arkansas,Poinsett County,479240.9242,1404530.665,23283,18.5,8,0.4,0.4,3.6,85.8,71.1,36150,5.5,43,1997,9.6,41,6.1,34,43,9,Urban
5113,Arkansas,Polk County,161456.3368,1270801.319,19707,23.7,0.5,2.2,0.9,6.4,88,73.4,42915,6.6,53,1731,8.8,36,5.3,31,59,13,Rural
5115,Arkansas,Pope County,266862.4365,1381043.102,64334,16.6,3.1,1.1,1.3,9.7,83.3,54.5,46350,5.9,54,5435,10.3,42,6.9,30,70,11,Urban
5117,Arkansas,Prairie County,403371.9341,1317212.819,7966,24.3,10.9,0.5,0.2,2,85.2,100,48478,5.3,64,654,8,37,7.8,30,32,10,Rural
5119,Arkansas,Pulaski County,334765.1331,1307555.833,392980,16.5,37.9,0.5,2.3,6.3,51,12.3,56171,7.4,69,32483,10,36,6.5,27,85,10,Urban
5121,Arkansas,Randolph County,442039.221,1488555.733,18247,19.7,1.2,0.8,0.5,2.5,91,67.4,46495,5.9,61,1673,10.3,36,6.3,31,39,10,Rural
5123,Arkansas,St. Francis County,474973.4109,1342390.793,24682,17,52.5,0.9,0.6,5.7,39.2,51.6,37759,7.9,49,2460,11.7,47,4.9,38,32,10,Urban
5125,Arkansas,Saline County,302180.008,1292556.533,123968,18.5,8.5,0.6,1.4,5.5,82.7,36.2,70550,5.1,69,9834,9,39,7.7,27,57,7,Urban
5127,Arkansas,Scott County,175621.6712,1313055.744,10164,21.1,0.6,2.7,3.2,8.2,83.6,70.4,41230,4.5,44,728,7.6,37,5.4,33,46,11,Rural
5129,Arkansas,Searcy County,295163.9777,1433919.742,7842,26,0.4,1.5,0.4,3.1,92.3,100,33814,6.4,45,589,7,39,5.2,34,20,10,Rural
5131,Arkansas,Sebastian County,155813.0466,1350516.749,127590,16.9,6.7,2.5,4.7,14.9,68.4,20.8,48627,6,58,11719,11,36,6.9,29,61,13,Urban
5133,Arkansas,Sevier County,161324.8127,1216143.217,16702,15.5,3.7,3.6,0.7,34.2,56.3,63.6,45838,5.8,35,1370,10.4,41,6.4,34,37,17,Rural
5135,Arkansas,Sharp County,402854.2096,1466357.015,17424,26.3,0.9,1.1,0.5,2.7,92.9,80.1,40437,7.1,48,1543,8.4,40,5.3,31,49,10,Rural
5137,Arkansas,Stone County,343883.5923,1430021.734,12674,28.4,0.4,1,0.5,1.9,94.6,100,36148,7.1,49,953,6.9,37,5.8,33,50,11,Rural
5139,Arkansas,Union County,315228.8032,1128070.39,38219,18.8,32.8,0.5,0.8,4.1,60.5,54.5,47857,8.3,57,3606,10.7,43,6.4,31,60,9,Urban
5141,Arkansas,Van Buren County,312908.4832,1397513.836,16541,27,0.7,1,0.4,3.4,92.7,100,42345,7.1,39,2167,12.1,38,6.5,31,42,10,Rural
5143,Arkansas,Washington County,159433.1948,1437877.144,243216,12.4,3.5,1.6,2.6,17.2,70,25.5,57712,4.6,64,17790,10.3,36,7.5,27,82,13,Urban
5145,Arkansas,White County,383682.6063,1364050.577,78729,16.9,4.4,0.7,0.8,4.6,87.5,54.3,43765,6.2,51,7111,10.7,38,6.8,30,57,11,Urban
5147,Arkansas,Woodruff County,429367.2299,1358372.258,6264,24.7,25.7,0.5,0.3,1.9,69.6,100,37634,5.8,50,519,8.2,40,7.1,35,46,9,Rural
5149,Arkansas,Yell County,234284.15,1330289.996,21181,18.3,1.8,1.3,1.5,21,74,79.1,48728,5.1,39,1717,9.1,38,7.2,34,46,14,Urban
